Name,Category,Ingredients,Cooking Time (min),Instructions
Recipe 46,Vegan,"Mushroom, Butter, Flour",84,Step 1: Prepare Mushroom. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 47,Drinks,"Chocolate, Cheese, Beef",46,Step 1: Prepare Chocolate. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 48,Drinks,"Onion, Milk, Mushroom, Fish, Chocolate, Flour, Pasta",35,Step 1: Prepare Onion. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 49,Drinks,"Potato, Cheese, Milk, Butter, Beef, Chicken",80,Step 1: Prepare Potato. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 50,Vegan,"Eggs, Butter, Pork",58,Step 1: Prepare Eggs. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 51,Breakfast,"Tomato, Onion, Beef, Carrot, Spinach",34,Step 1: Prepare Tomato. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 52,Dessert,"Potato, Tomato, Pork, Cheese, Fish",68,Step 1: Prepare Potato. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 53,Snacks,"Fish, Mushroom, Flour, Onion",51,Step 1: Prepare Fish. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 54,Gluten-Free,"Mushroom, Rice, Fish, Sugar",42,Step 1: Prepare Mushroom. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 55,Vegetarian,"Cheese, Carrot, Onion, Chocolate, Eggs, Pasta",78,Step 1: Prepare Cheese. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 56,Dessert,"Garlic, Sugar, Flour, Pasta, Eggs, Beef, Carrot",54,Step 1: Prepare Garlic. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 57,Lunch,"Garlic, Milk, Sugar, Spinach",48,Step 1: Prepare Garlic. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 58,Breakfast,"Beef, Fish, Chicken, Rice",28,Step 1: Prepare Beef. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 59,Dinner,"Mushroom, Onion, Milk, Sugar, Fish",28,Step 1: Prepare Mushroom. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 60,Vegetarian,"Sugar, Pork, Pasta, Cheese, Rice, Mushroom",31,Step 1: Prepare Sugar. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 61,Drinks,"Eggs, Garlic, Potato",33,Step 1: Prepare Eggs. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 62,Vegetarian,"Milk, Tomato, Beef, Potato, Sugar, Flour",81,Step 1: Prepare Milk. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 63,Lunch,"Eggs, Chicken, Tomato, Onion, Milk, Pork, Pasta",38,Step 1: Prepare Eggs. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 64,Dessert,"Carrot, Rice, Beef, Fish, Milk, Butter, Eggs",54,Step 1: Prepare Carrot. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 65,Snacks,"Chicken, Garlic, Mushroom, Onion",31,Step 1: Prepare Chicken. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 66,Vegan,"Garlic, Mushroom, Chocolate, Onion, Pasta, Sugar, Tomato",59,Step 1: Prepare Garlic. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 67,Gluten-Free,"Eggs, Potato, Tomato, Spinach, Flour",54,Step 1: Prepare Eggs. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 68,Drinks,"Pasta, Butter, Chocolate",31,Step 1: Prepare Pasta. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 69,Drinks,"Eggs, Butter, Pork, Milk, Potato, Tomato, Cheese",23,Step 1: Prepare Eggs. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 70,Dinner,"Chicken, Tomato, Fish, Onion, Butter",42,Step 1: Prepare Chicken. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 71,Vegan,"Garlic, Spinach, Beef",10,Step 1: Prepare Garlic. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 72,Vegan,"Potato, Garlic, Chocolate, Butter",35,Step 1: Prepare Potato. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 73,Snacks,"Milk, Rice, Spinach, Potato, Mushroom, Carrot, Chicken",44,Step 1: Prepare Milk. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 74,Breakfast,"Cheese, Sugar, Milk, Beef, Tomato, Chicken",75,Step 1: Prepare Cheese. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 75,Drinks,"Rice, Potato, Pasta, Chicken, Carrot, Cheese",39,Step 1: Prepare Rice. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 76,Vegetarian,"Pork, Mushroom, Pasta, Onion, Butter",18,Step 1: Prepare Pork. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 77,Snacks,"Onion, Mushroom, Sugar, Rice, Cheese",46,Step 1: Prepare Onion. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 78,Snacks,"Spinach, Onion, Rice, Mushroom",15,Step 1: Prepare Spinach. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 79,Breakfast,"Onion, Tomato, Chocolate, Fish, Spinach, Potato, Mushroom",72,Step 1: Prepare Onion. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 80,Gluten-Free,"Sugar, Spinach, Chicken",42,Step 1: Prepare Sugar. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 81,Dessert,"Chocolate, Potato, Spinach, Rice",67,Step 1: Prepare Chocolate. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 82,Vegetarian,"Fish, Mushroom, Potato, Eggs, Pork, Beef, Chocolate",77,Step 1: Prepare Fish. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 83,Lunch,"Pasta, Chicken, Flour, Garlic, Carrot, Eggs, Potato",46,Step 1: Prepare Pasta. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 84,Breakfast,"Chicken, Flour, Potato, Cheese, Mushroom, Onion",53,Step 1: Prepare Chicken. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 85,Gluten-Free,"Milk, Chicken, Garlic",45,Step 1: Prepare Milk. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 86,Lunch,"Beef, Pasta, Tomato, Pork",27,Step 1: Prepare Beef. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 87,Gluten-Free,"Onion, Pork, Pasta, Rice, Beef",12,Step 1: Prepare Onion. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 88,Vegetarian,"Garlic, Pork, Flour, Milk, Butter",37,Step 1: Prepare Garlic. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 89,Lunch,"Chocolate, Onion, Pasta",78,Step 1: Prepare Chocolate. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 90,Snacks,"Onion, Chocolate, Milk, Spinach",43,Step 1: Prepare Onion. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 91,Drinks,"Milk, Potato, Flour, Beef, Butter, Pork, Eggs",48,Step 1: Prepare Milk. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 92,Vegetarian,"Chicken, Pasta, Butter",69,Step 1: Prepare Chicken. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 93,Dinner,"Chicken, Chocolate, Potato, Pasta, Fish, Rice, Eggs",40,Step 1: Prepare Chicken. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 94,Vegan,"Milk, Chocolate, Fish, Cheese, Carrot",66,Step 1: Prepare Milk. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 95,Lunch,"Chicken, Milk, Fish, Rice, Beef, Chocolate, Butter",79,Step 1: Prepare Chicken. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 96,Lunch,"Butter, Cheese, Milk, Eggs",77,Step 1: Prepare Butter. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 97,Dessert,"Rice, Potato, Chicken, Spinach",34,Step 1: Prepare Rice. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 98,Lunch,"Mushroom, Tomato, Rice, Milk, Eggs, Chocolate, Beef",12,Step 1: Prepare Mushroom. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 99,Snacks,"Milk, Onion, Spinach, Beef",79,Step 1: Prepare Milk. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 100,Vegetarian,"Butter, Mushroom, Chicken",66,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 101,Dessert,"Potato, Tomato, Pork, Spinach, Sugar, Flour, Beef",27,Step 1: Prepare Potato. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 102,Lunch,"Flour, Mushroom, Tomato, Sugar, Potato, Fish",72,Step 1: Prepare Flour. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 103,Breakfast,"Chicken, Garlic, Cheese, Fish, Eggs, Pasta, Chocolate",86,Step 1: Prepare Chicken. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 104,Vegan,"Flour, Pork, Beef, Carrot, Garlic, Butter",33,Step 1: Prepare Flour. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 105,Dinner,"Beef, Onion, Spinach, Cheese, Rice, Carrot, Fish",72,Step 1: Prepare Beef. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 106,Vegetarian,"Cheese, Tomato, Chocolate, Pasta, Mushroom, Eggs, Fish",73,Step 1: Prepare Cheese. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 107,Dinner,"Rice, Mushroom, Flour",60,Step 1: Prepare Rice. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 108,Gluten-Free,"Pork, Flour, Chicken, Butter, Garlic, Sugar",29,Step 1: Prepare Pork. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 109,Breakfast,"Potato, Cheese, Eggs, Chicken, Onion",89,Step 1: Prepare Potato. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 110,Vegetarian,"Garlic, Chicken, Milk, Cheese, Pasta",39,Step 1: Prepare Garlic. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 111,Vegan,"Butter, Cheese, Tomato, Carrot, Eggs, Milk",51,Step 1: Prepare Butter. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 112,Breakfast,"Pork, Spinach, Fish, Chicken",21,Step 1: Prepare Pork. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 113,Snacks,"Flour, Spinach, Cheese, Garlic, Pork, Potato",51,Step 1: Prepare Flour. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 114,Dessert,"Spinach, Pasta, Beef, Rice, Sugar, Onion, Milk",84,Step 1: Prepare Spinach. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 115,Gluten-Free,"Garlic, Sugar, Butter, Chicken, Beef, Pork",64,Step 1: Prepare Garlic. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 116,Vegan,"Pork, Carrot, Tomato, Spinach, Garlic, Pasta",43,Step 1: Prepare Pork. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 117,Drinks,"Butter, Beef, Fish, Pasta, Sugar, Pork, Tomato",44,Step 1: Prepare Butter. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 118,Vegan,"Butter, Potato, Cheese, Beef, Garlic, Spinach, Mushroom",15,Step 1: Prepare Butter. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 119,Dessert,"Cheese, Garlic, Eggs, Butter",68,Step 1: Prepare Cheese. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 120,Snacks,"Cheese, Eggs, Potato, Beef, Fish, Tomato",43,Step 1: Prepare Cheese. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 121,Snacks,"Potato, Milk, Flour",53,Step 1: Prepare Potato. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 122,Dinner,"Cheese, Butter, Fish, Chicken, Beef, Spinach",78,Step 1: Prepare Cheese. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 123,Dessert,"Eggs, Garlic, Sugar, Fish",72,Step 1: Prepare Eggs. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 124,Vegetarian,"Garlic, Chocolate, Potato, Mushroom, Carrot",18,Step 1: Prepare Garlic. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 125,Vegetarian,"Tomato, Potato, Pasta, Beef, Chocolate",90,Step 1: Prepare Tomato. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 126,Dinner,"Carrot, Chicken, Eggs, Rice, Potato",89,Step 1: Prepare Carrot. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 127,Snacks,"Rice, Spinach, Flour, Pork",65,Step 1: Prepare Rice. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 128,Dinner,"Onion, Tomato, Sugar, Eggs",89,Step 1: Prepare Onion. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 129,Drinks,"Spinach, Chicken, Milk, Garlic, Sugar",72,Step 1: Prepare Spinach. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 130,Drinks,"Rice, Tomato, Butter",63,Step 1: Prepare Rice. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 131,Drinks,"Butter, Beef, Rice, Fish",84,Step 1: Prepare Butter. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 132,Snacks,"Butter, Mushroom, Tomato",90,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 133,Vegan,"Milk, Flour, Butter, Garlic, Fish, Beef, Chocolate",88,Step 1: Prepare Milk. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 134,Drinks,"Carrot, Spinach, Milk, Chicken, Onion",85,Step 1: Prepare Carrot. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 135,Breakfast,"Rice, Mushroom, Chocolate",62,Step 1: Prepare Rice. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 136,Dinner,"Chocolate, Potato, Garlic, Rice, Mushroom, Milk",43,Step 1: Prepare Chocolate. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 137,Gluten-Free,"Tomato, Potato, Onion, Flour, Chocolate, Pasta, Cheese",67,Step 1: Prepare Tomato. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 138,Gluten-Free,"Cheese, Milk, Flour",53,Step 1: Prepare Cheese. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 139,Lunch,"Pork, Chocolate, Carrot, Cheese, Mushroom, Eggs, Potato",11,Step 1: Prepare Pork. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 140,Dinner,"Chocolate, Eggs, Sugar, Flour, Fish",26,Step 1: Prepare Chocolate. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 141,Drinks,"Spinach, Beef, Potato",69,Step 1: Prepare Spinach. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 142,Breakfast,"Beef, Eggs, Potato, Garlic",82,Step 1: Prepare Beef. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 143,Lunch,"Carrot, Fish, Tomato, Chicken, Spinach",72,Step 1: Prepare Carrot. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 144,Gluten-Free,"Milk, Chicken, Carrot, Eggs, Potato",16,Step 1: Prepare Milk. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 145,Vegan,"Carrot, Fish, Potato, Chicken, Flour, Mushroom",76,Step 1: Prepare Carrot. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 146,Dinner,"Tomato, Eggs, Potato, Sugar, Onion, Pasta",47,Step 1: Prepare Tomato. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 147,Gluten-Free,"Onion, Spinach, Fish, Eggs",83,Step 1: Prepare Onion. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 148,Vegetarian,"Chicken, Spinach, Garlic, Sugar, Pork, Eggs, Tomato",10,Step 1: Prepare Chicken. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 149,Vegetarian,"Flour, Butter, Garlic, Pork, Potato",66,Step 1: Prepare Flour. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 150,Snacks,"Potato, Rice, Flour",82,Step 1: Prepare Potato. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 151,Dessert,"Mushroom, Milk, Rice",65,Step 1: Prepare Mushroom. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 152,Vegetarian,"Flour, Chicken, Beef, Eggs, Pasta, Potato, Chocolate",65,Step 1: Prepare Flour. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 153,Vegan,"Tomato, Milk, Spinach, Fish, Eggs, Garlic, Rice",89,Step 1: Prepare Tomato. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 154,Dinner,"Rice, Eggs, Mushroom, Flour, Pork, Beef, Garlic",89,Step 1: Prepare Rice. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 155,Breakfast,"Pasta, Tomato, Spinach",32,Step 1: Prepare Pasta. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 156,Drinks,"Spinach, Carrot, Pasta, Mushroom",29,Step 1: Prepare Spinach. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 157,Dinner,"Garlic, Carrot, Fish",63,Step 1: Prepare Garlic. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 158,Vegetarian,"Cheese, Butter, Flour",57,Step 1: Prepare Cheese. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 159,Dessert,"Rice, Chocolate, Flour, Eggs, Butter, Fish, Beef",54,Step 1: Prepare Rice. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 160,Vegan,"Potato, Pork, Milk, Eggs, Fish, Carrot, Garlic",71,Step 1: Prepare Potato. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 161,Snacks,"Cheese, Spinach, Beef, Eggs",77,Step 1: Prepare Cheese. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 162,Dinner,"Carrot, Garlic, Beef, Sugar",68,Step 1: Prepare Carrot. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 163,Vegan,"Sugar, Milk, Pasta, Beef, Tomato, Chicken",86,Step 1: Prepare Sugar. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 164,Gluten-Free,"Pork, Sugar, Fish, Milk, Rice, Eggs, Onion",43,Step 1: Prepare Pork. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 165,Lunch,"Chocolate, Carrot, Flour, Chicken, Rice, Sugar",24,Step 1: Prepare Chocolate. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 166,Dinner,"Eggs, Chocolate, Rice, Carrot",36,Step 1: Prepare Eggs. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 167,Dinner,"Chicken, Chocolate, Butter, Sugar",85,Step 1: Prepare Chicken. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 168,Vegan,"Mushroom, Eggs, Sugar",28,Step 1: Prepare Mushroom. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 169,Dessert,"Rice, Spinach, Beef, Milk, Onion, Carrot, Pasta",78,Step 1: Prepare Rice. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 170,Vegan,"Fish, Rice, Garlic, Sugar, Onion, Tomato, Chicken",42,Step 1: Prepare Fish. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 171,Drinks,"Spinach, Chicken, Pork, Rice, Flour, Fish",88,Step 1: Prepare Spinach. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 172,Lunch,"Eggs, Tomato, Chicken, Garlic, Flour, Onion",57,Step 1: Prepare Eggs. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 173,Lunch,"Sugar, Flour, Mushroom, Chocolate, Onion, Garlic, Spinach",83,Step 1: Prepare Sugar. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 174,Drinks,"Milk, Potato, Carrot, Onion, Fish, Mushroom, Pork",37,Step 1: Prepare Milk. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 175,Lunch,"Eggs, Beef, Milk, Pasta, Potato, Garlic, Carrot",87,Step 1: Prepare Eggs. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 176,Lunch,"Potato, Beef, Chicken, Tomato, Milk, Onion, Butter",87,Step 1: Prepare Potato. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 177,Dessert,"Potato, Fish, Sugar, Eggs, Butter",10,Step 1: Prepare Potato. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 178,Dessert,"Cheese, Beef, Onion, Pork, Spinach, Rice, Fish",38,Step 1: Prepare Cheese. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 179,Dinner,"Onion, Pasta, Carrot",65,Step 1: Prepare Onion. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 180,Gluten-Free,"Beef, Chicken, Spinach, Flour, Chocolate, Milk, Carrot",74,Step 1: Prepare Beef. Step 2: Add Chicken. Step 3: Cook and serve.
